issue_number	title	closure_mode	review_units	commit_shas	inspect_command	inspect_full_command	recommended_command	why_no_command	review_kind	shared_unit	apply_once	covered_issue_numbers	changed_files	overlap_units	packet_path
11062	Could not de-stringify annotation	verified_local_option_closure	COMMIT-bba9d0fc63e12fd0553d391fec4bd12ae3a74729	bba9d0fc63e12fd0553d391fec4bd12ae3a74729	git show --stat bba9d0fc63e12fd0553d391fec4bd12ae3a74729	git show bba9d0fc63e12fd0553d391fec4bd12ae3a74729	git cherry-pick bba9d0fc63e12fd0553d391fec4bd12ae3a74729		standalone-commit			11062	doc/build/orm/declarative_tables.rst		review_packets/ISSUE-11062.md
11132	MySQL DOUBLE accepts deprecated params that dont propagate from the base DOUBLE type, document this caveat	integrated_current_pr_objective	PR-13368		git show --stat d78abd7a9a169312b344be822152567e429220df	git show d78abd7a9a169312b344be822152567e429220df	git cherry-pick d78abd7a9a169312b344be822152567e429220df		pull-request-unit			11132	doc/build/changelog/unreleased_20/11132.rst,lib/sqlalchemy/dialects/mysql/types.py,test/dialect/mysql/test_types.py		review_packets/PR-13368.md
11284	Missing batch_op.f()	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			11284			review_packets/ISSUE-11284.md
11597	sqltypes.Enum not generic enough	verified_local_option_closure	COMMIT-0d62dfb5241d64999750e68d5896df60e47c490e	0d62dfb5241d64999750e68d5896df60e47c490e	git show --stat 0d62dfb5241d64999750e68d5896df60e47c490e	git show 0d62dfb5241d64999750e68d5896df60e47c490e	git cherry-pick 0d62dfb5241d64999750e68d5896df60e47c490e		standalone-commit			11597	doc/build/changelog/unreleased_21/11597.rst,lib/sqlalchemy/sql/sqltypes.py,test/typing/plain_files/sql/sqltypes.py	COLLATION-SCHEMA,COMMIT-ac07c1976b5e3860ff070c078d044995a28c3918,COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	review_packets/ISSUE-11597.md
11620	Deprecate MSSQL enable_identity_insert by default, gate it behind a flag	integrated_current_pr_objective	PR-12297		git show --stat ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4	git show ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4	git cherry-pick ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4		pull-request-unit			11620	doc/build/changelog/unreleased_21/11620.rst,lib/sqlalchemy/dialects/mssql/base.py,test/dialect/mssql/test_query.py	PR-13452	review_packets/PR-12297.md
11677	SQLITE: SQLiteDialect.get_check_constraints incorrectly reflects multiline check constraints	verified_local_option_closure						no standalone technical unit is asserted by the frozen evidence	no-exact-unit			11677			review_packets/ISSUE-11677.md
12097	can't adapt type for enum in case()	verified_local_option_closure	COMMIT-ac07c1976b5e3860ff070c078d044995a28c3918	ac07c1976b5e3860ff070c078d044995a28c3918	git show --stat ac07c1976b5e3860ff070c078d044995a28c3918	git show ac07c1976b5e3860ff070c078d044995a28c3918	git cherry-pick ac07c1976b5e3860ff070c078d044995a28c3918		standalone-commit			12097	lib/sqlalchemy/sql/sqltypes.py	COLLATION-SCHEMA,COMMIT-0d62dfb5241d64999750e68d5896df60e47c490e,COMMIT-d5244bbb9527a9161a7fc08cc21d5fb240f1dd42	review_packets/ISSUE-12097.md
12341	Add dialect-specific support for Oracle's FETCH EXACT/APPROXIMATE	verified_upstream_resolved						the required behavior is already present in the frozen upstream base	no-pick-needed			12341			review_packets/ISSUE-12341.md
12561	Recover two-phase in mysql is currently unusable since it uses a legacy row index method	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			12561			review_packets/ISSUE-12561.md
12710	add extra shielding to async connection create	verified_local_option_closure	COMMIT-d4737a8f08be526d075b4694eb793807fd44b6af	d4737a8f08be526d075b4694eb793807fd44b6af	git show --stat d4737a8f08be526d075b4694eb793807fd44b6af	git show d4737a8f08be526d075b4694eb793807fd44b6af	git cherry-pick d4737a8f08be526d075b4694eb793807fd44b6af		standalone-commit			12710	doc/build/changelog/unreleased_21/12710.rst,lib/sqlalchemy/ext/asyncio/engine.py,test/ext/asyncio/test_engine.py		review_packets/ISSUE-12710.md
13048	Add option for disabling automatic addition of constraint/indexes to the table	integrated_current_pr_objective	PR-13399		git show --stat ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9	git show ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9	git cherry-pick ec10bde77ab7d062e2c54b67279c7c16836d00a0 b1ac92a48293c27edb0cbb81d05b1a5a053cca7d c81f57b8626485009fdf20c6e983f78f9f0c2a10 b6e57ace6847e3b9c6ebaf3d7ebcf5e37825401e b060340fee665bf8159773b19403fae05dfd45e9		pull-request-unit			13048	doc/build/changelog/unreleased_21/13048.rst,lib/sqlalchemy/sql/schema.py,test/sql/test_constraints.py	COMMIT-c004cf4aabfa967ae4a38f2569b318b0de4923db	review_packets/PR-13399.md
13049	Provide an implementation for avg / abs function with proper type	integrated_current_pr_objective	PR-13051		git show --stat aa4a415f689599ba872d3c026f94d4f3fb42cbde	git show aa4a415f689599ba872d3c026f94d4f3fb42cbde	git cherry-pick aa4a415f689599ba872d3c026f94d4f3fb42cbde		pull-request-unit			13049	doc/build/core/functions.rst,lib/sqlalchemy/sql/functions.py,test/sql/test_functions.py,test/typing/plain_files/sql/functions.py,tools/generate_sql_functions.py		review_packets/PR-13051.md
13113	SQLite insert supports multiple on-conflict clauses in inserts	verified_local_option_closure	COMMIT-3f0fed9f6e49bdbb387566502cddcaf42dc12b56	3f0fed9f6e49bdbb387566502cddcaf42dc12b56	git show --stat 3f0fed9f6e49bdbb387566502cddcaf42dc12b56	git show 3f0fed9f6e49bdbb387566502cddcaf42dc12b56	git cherry-pick 3f0fed9f6e49bdbb387566502cddcaf42dc12b56		standalone-commit			13113	doc/build/changelog/unreleased_21/13113.rst,lib/sqlalchemy/dialects/sqlite/dml.py,test/dialect/sqlite/test_on_conflict.py		review_packets/ISSUE-13113.md
13157	PostgreSQL check constraint reflection strips brackets naively	integrated_current_pr_objective	PR-13303		git show --stat 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c	git show 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c	git cherry-pick 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c		pull-request-unit			13157	doc/build/changelog/unreleased_21/13157.rst,lib/sqlalchemy/dialects/postgresql/base.py,lib/sqlalchemy/dialects/sqlite/base.py,lib/sqlalchemy/util/__init__.py,lib/sqlalchemy/util/langhelpers.py,test/base/test_utils.py,test/dialect/postgresql/test_reflection.py	COLLATION-SCHEMA,COMMIT-483d715186d7a0d176dc749bb358861f6b31d81d,PR-13455	review_packets/PR-13303.md
13169	Connection pool soft invalidation uses `time.time()` comparison that can silently fail on low-resolution clocks (e.g. Windows ~16 ms)	integrated_current_pr_objective	PR-13288		git show --stat 6aac317f3dcf166cc042ed5a085d826b9238da8b	git show 6aac317f3dcf166cc042ed5a085d826b9238da8b	git cherry-pick 6aac317f3dcf166cc042ed5a085d826b9238da8b		pull-request-unit			13169	lib/sqlalchemy/pool/base.py		review_packets/PR-13288.md
13204	Immediateload fails to load when combined with inheritance	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			13204			review_packets/ISSUE-13204.md
13210	Applying a loader option to a parent relationship when using with_polymorphic does not work properly	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			13210			review_packets/ISSUE-13210.md
13227	WriteOnlyMapped: default_factory=list broken in 2.1 due to new declarative_scan validation	integrated_current_pr_objective	PR-13289		git show --stat 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e	git show 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e	git cherry-pick 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e		pull-request-unit			13227	lib/sqlalchemy/orm/relationships.py,test/orm/declarative/test_typed_mapping.py	COMMIT-f22279bfce1370cca4801a6b14119ac0833f9a84	review_packets/PR-13289.md
13406	use new _raw_all_tuples with subqueryloads	integrated_current_pr_objective	PR-13404		git diff --stat e16498a837a796c9b63ea985ffa56a41307d8725^1 e16498a837a796c9b63ea985ffa56a41307d8725	git diff e16498a837a796c9b63ea985ffa56a41307d8725^1 e16498a837a796c9b63ea985ffa56a41307d8725	git cherry-pick -m 1 e16498a837a796c9b63ea985ffa56a41307d8725		pull-request-unit			13406	lib/sqlalchemy/orm/strategies.py,test/orm/test_subquery_relations.py	PR-13405	review_packets/PR-13404.md
13407	Cython batch instance processor — ~10–30% on most loads	integrated_current_pr_objective	PR-13405		git diff --stat 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4^1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4	git diff 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4^1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4	git cherry-pick -m 1 18dcfb9a2a5f80fe0f640d7c71d19cf8e6020ce4		pull-request-unit			13407	lib/sqlalchemy/orm/_loading_cy.py,lib/sqlalchemy/orm/loading.py,lib/sqlalchemy/orm/mapper.py,lib/sqlalchemy/orm/strategies.py,lib/sqlalchemy/util/_has_cython.py,setup.py,test/orm/test_loading_batch.py,test/profiles.txt	COMMIT-bc15f973a29a80d8f0061105b2a704a5cfbdc482,PR-13404	review_packets/PR-13405.md
13433	Deprecate guess-the-pool in sqlite memory	integrated_current_pr_objective	PR-13465		git show --stat 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad	git show 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad	git cherry-pick 0652cc62247eef64d95b1ded25cab707e382aa17 fc50a9837fd50334450ee6c9dd645db1b27b4dad		pull-request-unit			13433	doc/build/changelog/unreleased_21/13433.rst,lib/sqlalchemy/dialects/sqlite/aiosqlite.py,lib/sqlalchemy/dialects/sqlite/pysqlite.py,lib/sqlalchemy/sql/_elements_constructors.py,test/dialect/sqlite/test_dialect.py,test/typing/plain_files/sql/operators.py	COLLATION-SCHEMA,COMMIT-0120e74078d09e0acc868507317045e5a6a51007	review_packets/PR-13465.md
13441	mssql+mssqlpython does not recognize communication failures as disconnects	integrated_current_pr_objective	PR-13442		git show --stat 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa	git show 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa	git cherry-pick 3cc7f8f9bae3c588bbf8d2443e69343c6889bc2a f1d6b6a4a82afef454837d5f6081b73085af88aa		pull-request-unit			13441	lib/sqlalchemy/dialects/mssql/mssqlpython.py,test/dialect/mssql/test_engine.py		review_packets/PR-13442.md
13451	[mssql] reflection sets a spurious length on TEXT/NTEXT columns, yielding invalid TEXT(16) DDL	integrated_current_pr_objective	PR-13452		git show --stat 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06	git show 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06	git cherry-pick 87ad77f1a560d08bc2c74a1e141d5388fa464f48 e42e39d67e19206a79c800a5b0fddb9808367b80 7a95286d2c1a18cdadb4efc806c5bbea210e1a06		pull-request-unit			13451	doc/build/changelog/unreleased_21/13451.rst,lib/sqlalchemy/dialects/mssql/base.py,test/dialect/mssql/test_reflection.py	PR-12297	review_packets/PR-13452.md
